at 10s, row rate 693981.74/sec (period), row rate 693981.74/sec (overall), 6.940000E+06 total rows
at 20s, row rate 389007.67/sec (period), row rate 541498.21/sec (overall), 1.083000E+07 total rows
at 30s, row rate 152998.02/sec (period), row rate 411997.32/sec (overall), 1.236000E+07 total rows
at 40s, row rate 69999.61/sec (period), row rate 326497.95/sec (overall), 1.306000E+07 total rows
at 50s, row rate 18000.27/sec (period), row rate 264799.45/sec (overall), 1.324000E+07 total rows
at 1m0s, row rate 200995.59/sec (period), row rate 254165.30/sec (overall), 1.525000E+07 total rows
at 1m10s, row rate 147004.03/sec (period), row rate 238856.98/sec (overall), 1.672000E+07 total rows
at 1m20s, row rate 90994.33/sec (period), row rate 220373.15/sec (overall), 1.763000E+07 total rows
at 1m30s, row rate 103006.69/sec (period), row rate 207333.28/sec (overall), 1.866000E+07 total rows
at 1m40s, row rate 162985.05/sec (period), row rate 202898.09/sec (overall), 2.029000E+07 total rows
at 1m50s, row rate 120007.52/sec (period), row rate 195363.08/sec (overall), 2.149000E+07 total rows
at 2m0s, row rate 67996.41/sec (period), row rate 184748.70/sec (overall), 2.217000E+07 total rows
at 2m10s, row rate 518020.13/sec (period), row rate 210383.88/sec (overall), 2.735000E+07 total rows
at 2m20s, row rate 672990.12/sec (period), row rate 243427.53/sec (overall), 3.408000E+07 total rows
at 2m30s, row rate 656984.60/sec (period), row rate 270998.49/sec (overall), 4.065000E+07 total rows
at 2m40s, row rate 674989.58/sec (period), row rate 296248.17/sec (overall), 4.740000E+07 total rows
at 2m50s, row rate 299026.81/sec (period), row rate 296411.60/sec (overall), 5.039000E+07 total rows
at 3m0s, row rate 158999.62/sec (period), row rate 288777.59/sec (overall), 5.198000E+07 total rows
at 3m10s, row rate 17993.80/sec (period), row rate 274521.17/sec (overall), 5.216000E+07 total rows
at 3m20s, row rate 101025.88/sec (period), row rate 265848.67/sec (overall), 5.317000E+07 total rows
at 3m30s, row rate 152012.31/sec (period), row rate 260428.33/sec (overall), 5.469000E+07 total rows
at 3m40s, row rate 143993.77/sec (period), row rate 255135.64/sec (overall), 5.613000E+07 total rows
