at 10s, row rate 302986.91/sec (period), row rate 302986.91/sec (overall), 3.030000E+06 total rows
at 20s, row rate 170006.73/sec (period), row rate 236499.57/sec (overall), 4.730000E+06 total rows
at 30s, row rate 422990.56/sec (period), row rate 298664.09/sec (overall), 8.960000E+06 total rows
at 40s, row rate 1068989.17/sec (period), row rate 491245.57/sec (overall), 1.965000E+07 total rows
at 50s, row rate 1127927.41/sec (period), row rate 618587.58/sec (overall), 3.093000E+07 total rows
at 1m0s, row rate 1118042.08/sec (period), row rate 701825.99/sec (overall), 4.211000E+07 total rows
at 1m10s, row rate 1075063.00/sec (period), row rate 755142.41/sec (overall), 5.286000E+07 total rows
at 1m20s, row rate 1059945.82/sec (period), row rate 793244.52/sec (overall), 6.346000E+07 total rows
at 1m30s, row rate 1109982.76/sec (period), row rate 828437.93/sec (overall), 7.456000E+07 total rows
at 1m40s, row rate 209994.16/sec (period), row rate 766592.44/sec (overall), 7.666000E+07 total rows
at 1m50s, row rate 182017.00/sec (period), row rate 713454.21/sec (overall), 7.848000E+07 total rows
at 2m0s, row rate 19998.10/sec (period), row rate 655661.19/sec (overall), 7.868000E+07 total rows
at 2m10s, row rate 248012.84/sec (period), row rate 624305.37/sec (overall), 8.116000E+07 total rows
at 2m20s, row rate 487975.50/sec (period), row rate 614567.10/sec (overall), 8.604000E+07 total rows
at 2m30s, row rate 320025.27/sec (period), row rate 594932.55/sec (overall), 8.924000E+07 total rows
at 2m40s, row rate 252977.49/sec (period), row rate 573558.60/sec (overall), 9.177000E+07 total rows
at 2m50s, row rate 9000.64/sec (period), row rate 540351.74/sec (overall), 9.186000E+07 total rows
at 3m0s, row rate 898022.93/sec (period), row rate 560221.84/sec (overall), 1.008400E+08 total rows
at 3m10s, row rate 1119944.80/sec (period), row rate 589682.30/sec (overall), 1.120400E+08 total rows
at 3m20s, row rate 871968.81/sec (period), row rate 603797.06/sec (overall), 1.207600E+08 total rows
at 3m30s, row rate 122010.17/sec (period), row rate 580856.76/sec (overall), 1.219800E+08 total rows
at 3m40s, row rate 24993.08/sec (period), row rate 555583.57/sec (overall), 1.222300E+08 total rows
