at 10s, row rate 210992.62/sec (period), row rate 210992.62/sec (overall), 2.110000E+06 total rows
at 20s, row rate 163997.23/sec (period), row rate 187495.14/sec (overall), 3.750000E+06 total rows
at 30s, row rate 93995.44/sec (period), row rate 156328.11/sec (overall), 4.690000E+06 total rows
at 40s, row rate 96008.73/sec (period), row rate 141249.67/sec (overall), 5.650000E+06 total rows
at 50s, row rate 95999.40/sec (period), row rate 132199.59/sec (overall), 6.610000E+06 total rows
at 1m0s, row rate 115993.77/sec (period), row rate 129498.50/sec (overall), 7.770000E+06 total rows
at 1m10s, row rate 115006.20/sec (period), row rate 127428.29/sec (overall), 8.920000E+06 total rows
at 1m20s, row rate 132992.03/sec (period), row rate 128123.79/sec (overall), 1.025000E+07 total rows
at 1m30s, row rate 197003.61/sec (period), row rate 135776.92/sec (overall), 1.222000E+07 total rows
at 1m40s, row rate 199004.64/sec (period), row rate 142099.52/sec (overall), 1.421000E+07 total rows
at 1m50s, row rate 149991.09/sec (period), row rate 142816.97/sec (overall), 1.571000E+07 total rows
at 2m0s, row rate 118009.75/sec (period), row rate 140749.88/sec (overall), 1.689000E+07 total rows
at 2m10s, row rate 107997.39/sec (period), row rate 138230.40/sec (overall), 1.797000E+07 total rows
at 2m20s, row rate 121003.32/sec (period), row rate 136999.93/sec (overall), 1.918000E+07 total rows
at 2m30s, row rate 120990.78/sec (period), row rate 135932.58/sec (overall), 2.039000E+07 total rows
at 2m40s, row rate 148007.51/sec (period), row rate 136687.22/sec (overall), 2.187000E+07 total rows
at 2m50s, row rate 157995.71/sec (period), row rate 137940.69/sec (overall), 2.345000E+07 total rows
at 3m0s, row rate 207997.91/sec (period), row rate 141832.78/sec (overall), 2.553000E+07 total rows
at 3m10s, row rate 111007.15/sec (period), row rate 140210.49/sec (overall), 2.664000E+07 total rows
at 3m20s, row rate 41996.99/sec (period), row rate 135299.48/sec (overall), 2.706000E+07 total rows
at 3m30s, row rate 56998.20/sec (period), row rate 131570.75/sec (overall), 2.763000E+07 total rows
at 3m40s, row rate 8999.99/sec (period), row rate 125999.37/sec (overall), 2.772000E+07 total rows
at 3m50s, row rate 54003.45/sec (period), row rate 122869.32/sec (overall), 2.826000E+07 total rows
at 4m0s, row rate 64997.38/sec (period), row rate 120457.90/sec (overall), 2.891000E+07 total rows
at 4m10s, row rate 66999.30/sec (period), row rate 118319.54/sec (overall), 2.958000E+07 total rows
at 4m20s, row rate 18001.65/sec (period), row rate 114461.51/sec (overall), 2.976000E+07 total rows
at 4m30s, row rate 63998.98/sec (period), row rate 112592.50/sec (overall), 3.040000E+07 total rows
at 4m40s, row rate 186994.44/sec (period), row rate 115249.79/sec (overall), 3.227000E+07 total rows
at 4m50s, row rate 135997.02/sec (period), row rate 115965.22/sec (overall), 3.363000E+07 total rows
at 5m0s, row rate 107002.79/sec (period), row rate 115666.49/sec (overall), 3.470000E+07 total rows
at 5m10s, row rate 92001.65/sec (period), row rate 114903.12/sec (overall), 3.562000E+07 total rows
at 5m20s, row rate 93997.78/sec (period), row rate 114249.81/sec (overall), 3.656000E+07 total rows
at 5m30s, row rate 102996.33/sec (period), row rate 113908.79/sec (overall), 3.759000E+07 total rows
at 5m40s, row rate 115002.42/sec (period), row rate 113940.95/sec (overall), 3.874000E+07 total rows
at 5m50s, row rate 183011.04/sec (period), row rate 115914.26/sec (overall), 4.057000E+07 total rows
at 6m0s, row rate 194981.79/sec (period), row rate 118110.78/sec (overall), 4.252000E+07 total rows
at 6m10s, row rate 178011.92/sec (period), row rate 119729.62/sec (overall), 4.430000E+07 total rows
at 6m20s, row rate 115997.86/sec (period), row rate 119631.42/sec (overall), 4.546000E+07 total rows
at 6m30s, row rate 109001.22/sec (period), row rate 119358.85/sec (overall), 4.655000E+07 total rows
at 6m40s, row rate 123001.83/sec (period), row rate 119449.92/sec (overall), 4.778000E+07 total rows
at 6m50s, row rate 104993.98/sec (period), row rate 119097.32/sec (overall), 4.883000E+07 total rows
at 7m0s, row rate 139009.97/sec (period), row rate 119571.40/sec (overall), 5.022000E+07 total rows
at 7m10s, row rate 99000.05/sec (period), row rate 119092.99/sec (overall), 5.121000E+07 total rows
at 7m20s, row rate 54994.95/sec (period), row rate 117636.09/sec (overall), 5.176000E+07 total rows
at 7m30s, row rate 55000.49/sec (period), row rate 116244.20/sec (overall), 5.231000E+07 total rows
at 7m40s, row rate 45003.54/sec (period), row rate 114695.61/sec (overall), 5.276000E+07 total rows
at 7m50s, row rate 32997.37/sec (period), row rate 112957.22/sec (overall), 5.309000E+07 total rows
at 8m0s, row rate 49002.61/sec (period), row rate 111624.90/sec (overall), 5.358000E+07 total rows
at 8m10s, row rate 76995.99/sec (period), row rate 110918.16/sec (overall), 5.435000E+07 total rows
at 8m20s, row rate 52003.62/sec (period), row rate 109739.95/sec (overall), 5.487000E+07 total rows
at 8m30s, row rate 10999.31/sec (period), row rate 107803.74/sec (overall), 5.498000E+07 total rows
at 8m40s, row rate 14000.45/sec (period), row rate 105999.89/sec (overall), 5.512000E+07 total rows
at 8m50s, row rate 43000.50/sec (period), row rate 104811.24/sec (overall), 5.555000E+07 total rows
at 9m0s, row rate 205001.35/sec (period), row rate 106666.60/sec (overall), 5.760000E+07 total rows
at 9m10s, row rate 93993.50/sec (period), row rate 106436.16/sec (overall), 5.854000E+07 total rows
at 9m20s, row rate 136001.60/sec (period), row rate 106964.11/sec (overall), 5.990000E+07 total rows
at 9m30s, row rate 145005.02/sec (period), row rate 107631.47/sec (overall), 6.135000E+07 total rows
at 9m40s, row rate 152004.15/sec (period), row rate 108396.49/sec (overall), 6.287000E+07 total rows
at 9m50s, row rate 130996.00/sec (period), row rate 108779.55/sec (overall), 6.418000E+07 total rows
at 10m0s, row rate 141007.92/sec (period), row rate 109316.66/sec (overall), 6.559000E+07 total rows
at 10m10s, row rate 208996.39/sec (period), row rate 110950.78/sec (overall), 6.768000E+07 total rows
at 10m20s, row rate 209989.22/sec (period), row rate 112548.25/sec (overall), 6.978000E+07 total rows
at 10m30s, row rate 117004.55/sec (period), row rate 112618.98/sec (overall), 7.095000E+07 total rows
at 10m40s, row rate 106997.02/sec (period), row rate 112531.14/sec (overall), 7.202000E+07 total rows
at 10m50s, row rate 118006.75/sec (period), row rate 112615.37/sec (overall), 7.320000E+07 total rows
at 11m0s, row rate 114996.52/sec (period), row rate 112651.45/sec (overall), 7.435000E+07 total rows
at 11m10s, row rate 100001.82/sec (period), row rate 112462.66/sec (overall), 7.535000E+07 total rows
at 11m20s, row rate 113997.36/sec (period), row rate 112485.23/sec (overall), 7.649000E+07 total rows
at 11m30s, row rate 165990.96/sec (period), row rate 113260.71/sec (overall), 7.815000E+07 total rows
at 11m40s, row rate 208008.83/sec (period), row rate 114614.20/sec (overall), 8.023000E+07 total rows
at 11m50s, row rate 173995.87/sec (period), row rate 115450.58/sec (overall), 8.197000E+07 total rows
at 12m0s, row rate 127007.36/sec (period), row rate 115611.08/sec (overall), 8.324000E+07 total rows
at 12m10s, row rate 83997.42/sec (period), row rate 115178.00/sec (overall), 8.408000E+07 total rows
at 12m20s, row rate 34998.48/sec (period), row rate 114094.45/sec (overall), 8.443000E+07 total rows
at 12m30s, row rate 12999.63/sec (period), row rate 112746.48/sec (overall), 8.456000E+07 total rows
at 12m40s, row rate 25002.33/sec (period), row rate 111592.06/sec (overall), 8.481000E+07 total rows
at 12m50s, row rate 103996.75/sec (period), row rate 111493.42/sec (overall), 8.585000E+07 total rows
at 13m0s, row rate 162001.77/sec (period), row rate 112140.96/sec (overall), 8.747000E+07 total rows
