at 10s, row rate 377981.69/sec (period), row rate 377981.69/sec (overall), 3.780000E+06 total rows
at 20s, row rate 2292092.27/sec (period), row rate 1334994.55/sec (overall), 2.670000E+07 total rows
at 30s, row rate 3250922.37/sec (period), row rate 1973645.58/sec (overall), 5.921000E+07 total rows
at 40s, row rate 2075869.55/sec (period), row rate 1999202.57/sec (overall), 7.997000E+07 total rows
at 50s, row rate 383035.64/sec (period), row rate 1675999.38/sec (overall), 8.380000E+07 total rows
at 1m0s, row rate 63959.41/sec (period), row rate 1407184.05/sec (overall), 8.444000E+07 total rows
at 1m10s, row rate 62038.96/sec (period), row rate 1215141.37/sec (overall), 8.506000E+07 total rows
at 1m20s, row rate 959906.48/sec (period), row rate 1183234.33/sec (overall), 9.466000E+07 total rows
at 1m30s, row rate 87006.93/sec (period), row rate 1061441.34/sec (overall), 9.553000E+07 total rows
at 1m40s, row rate 31986.80/sec (period), row rate 958457.92/sec (overall), 9.585000E+07 total rows
at 1m50s, row rate 27001.95/sec (period), row rate 873789.05/sec (overall), 9.612000E+07 total rows
at 2m0s, row rate 2949070.53/sec (period), row rate 1046666.34/sec (overall), 1.256000E+08 total rows
at 2m10s, row rate 2544960.82/sec (period), row rate 1161921.36/sec (overall), 1.510500E+08 total rows
at 2m20s, row rate 1214973.17/sec (period), row rate 1165710.85/sec (overall), 1.632000E+08 total rows
at 2m30s, row rate 435016.08/sec (period), row rate 1116999.68/sec (overall), 1.675500E+08 total rows
at 2m40s, row rate 579966.63/sec (period), row rate 1083433.31/sec (overall), 1.733500E+08 total rows
at 2m50s, row rate 60984.89/sec (period), row rate 1023275.48/sec (overall), 1.739600E+08 total rows
at 3m0s, row rate 28998.76/sec (period), row rate 968036.61/sec (overall), 1.742500E+08 total rows
at 3m10s, row rate 342114.30/sec (period), row rate 935104.37/sec (overall), 1.776700E+08 total rows
at 3m20s, row rate 56994.97/sec (period), row rate 891195.26/sec (overall), 1.782400E+08 total rows
at 3m30s, row rate 58004.93/sec (period), row rate 851522.94/sec (overall), 1.788200E+08 total rows
at 3m40s, row rate 2999.88/sec (period), row rate 812952.22/sec (overall), 1.788500E+08 total rows
at 3m50s, row rate 1055033.63/sec (period), row rate 823477.15/sec (overall), 1.894000E+08 total rows
at 4m0s, row rate 261951.53/sec (period), row rate 800076.13/sec (overall), 1.920200E+08 total rows
at 4m10s, row rate 31983.07/sec (period), row rate 769337.06/sec (overall), 1.923400E+08 total rows
at 4m20s, row rate 28011.07/sec (period), row rate 740836.18/sec (overall), 1.926200E+08 total rows
at 4m30s, row rate 278085.90/sec (period), row rate 723702.60/sec (overall), 1.954000E+08 total rows
at 4m40s, row rate 176001.68/sec (period), row rate 704142.06/sec (overall), 1.971600E+08 total rows
at 4m50s, row rate 55997.66/sec (period), row rate 681791.38/sec (overall), 1.977200E+08 total rows
at 5m0s, row rate 35989.42/sec (period), row rate 660258.58/sec (overall), 1.980800E+08 total rows
at 5m10s, row rate 27005.17/sec (period), row rate 639835.07/sec (overall), 1.983500E+08 total rows
at 5m20s, row rate 289023.51/sec (period), row rate 628873.14/sec (overall), 2.012400E+08 total rows
at 5m30s, row rate 60994.78/sec (period), row rate 611663.32/sec (overall), 2.018500E+08 total rows
at 5m40s, row rate 31989.04/sec (period), row rate 594608.50/sec (overall), 2.021700E+08 total rows
at 5m50s, row rate 507254.75/sec (period), row rate 592113.93/sec (overall), 2.072400E+08 total rows
at 6m0s, row rate 385964.04/sec (period), row rate 586387.03/sec (overall), 2.111000E+08 total rows
at 6m10s, row rate 533013.48/sec (period), row rate 584944.54/sec (overall), 2.164300E+08 total rows
at 6m20s, row rate 321967.44/sec (period), row rate 578023.43/sec (overall), 2.196500E+08 total rows
at 6m30s, row rate 62994.78/sec (period), row rate 564816.56/sec (overall), 2.202800E+08 total rows
at 6m40s, row rate 28003.06/sec (period), row rate 551397.75/sec (overall), 2.205600E+08 total rows
at 6m50s, row rate 704101.51/sec (period), row rate 555121.69/sec (overall), 2.276000E+08 total rows
at 7m0s, row rate 410982.44/sec (period), row rate 551689.66/sec (overall), 2.317100E+08 total rows
at 7m10s, row rate 34976.07/sec (period), row rate 539665.05/sec (overall), 2.320600E+08 total rows
at 7m20s, row rate 28010.49/sec (period), row rate 528040.99/sec (overall), 2.323400E+08 total rows
at 7m30s, row rate 3131146.29/sec (period), row rate 585866.59/sec (overall), 2.636400E+08 total rows
COPY 266827680, took 7m31.352016001s with 32 worker(s) (mean rate 591174.228852/sec)
