at 10s, row rate 297992.07/sec (period), row rate 297992.07/sec (overall), 2.980000E+06 total rows
at 20s, row rate 147989.88/sec (period), row rate 222989.41/sec (overall), 4.460000E+06 total rows
at 30s, row rate 109008.45/sec (period), row rate 184998.93/sec (overall), 5.550000E+06 total rows
at 40s, row rate 40999.65/sec (period), row rate 148999.03/sec (overall), 5.960000E+06 total rows
at 50s, row rate 119992.43/sec (period), row rate 143197.45/sec (overall), 7.160000E+06 total rows
at 1m0s, row rate 148011.93/sec (period), row rate 143999.79/sec (overall), 8.640000E+06 total rows
at 1m10s, row rate 100988.23/sec (period), row rate 137854.68/sec (overall), 9.650000E+06 total rows
at 1m20s, row rate 54006.34/sec (period), row rate 127374.88/sec (overall), 1.019000E+07 total rows
at 1m30s, row rate 149985.70/sec (period), row rate 129887.40/sec (overall), 1.169000E+07 total rows
at 1m40s, row rate 148007.22/sec (period), row rate 131699.29/sec (overall), 1.317000E+07 total rows
at 1m50s, row rate 83003.52/sec (period), row rate 127272.59/sec (overall), 1.400000E+07 total rows
at 2m0s, row rate 59997.18/sec (period), row rate 121666.07/sec (overall), 1.460000E+07 total rows
at 2m10s, row rate 463008.59/sec (period), row rate 147922.62/sec (overall), 1.923000E+07 total rows
at 2m20s, row rate 461996.29/sec (period), row rate 170356.55/sec (overall), 2.385000E+07 total rows
at 2m30s, row rate 470977.34/sec (period), row rate 190398.78/sec (overall), 2.856000E+07 total rows
at 2m40s, row rate 472043.39/sec (period), row rate 207999.94/sec (overall), 3.328000E+07 total rows
at 2m50s, row rate 473957.82/sec (period), row rate 223645.83/sec (overall), 3.802000E+07 total rows
at 3m0s, row rate 387004.71/sec (period), row rate 232721.17/sec (overall), 4.189000E+07 total rows
at 3m10s, row rate 138997.73/sec (period), row rate 227788.30/sec (overall), 4.328000E+07 total rows
at 3m20s, row rate 144000.64/sec (period), row rate 223598.96/sec (overall), 4.472000E+07 total rows
at 3m30s, row rate 46000.52/sec (period), row rate 215142.02/sec (overall), 4.518000E+07 total rows
at 3m40s, row rate 94005.25/sec (period), row rate 209636.11/sec (overall), 4.612000E+07 total rows
at 3m50s, row rate 139002.02/sec (period), row rate 206565.11/sec (overall), 4.751000E+07 total rows
at 4m0s, row rate 122998.28/sec (period), row rate 203083.12/sec (overall), 4.874000E+07 total rows
at 4m10s, row rate 58997.43/sec (period), row rate 197319.46/sec (overall), 4.933000E+07 total rows
at 4m20s, row rate 114005.08/sec (period), row rate 194115.20/sec (overall), 5.047000E+07 total rows
at 4m30s, row rate 153991.67/sec (period), row rate 192629.07/sec (overall), 5.201000E+07 total rows
at 4m40s, row rate 107007.86/sec (period), row rate 189571.39/sec (overall), 5.308000E+07 total rows
at 4m50s, row rate 40997.24/sec (period), row rate 184447.81/sec (overall), 5.349000E+07 total rows
at 5m0s, row rate 17999.53/sec (period), row rate 178899.41/sec (overall), 5.367000E+07 total rows
at 5m10s, row rate 126999.84/sec (period), row rate 177225.24/sec (overall), 5.494000E+07 total rows
at 5m20s, row rate 462005.98/sec (period), row rate 186124.50/sec (overall), 5.956000E+07 total rows
at 5m30s, row rate 449013.39/sec (period), row rate 194090.57/sec (overall), 6.405000E+07 total rows
at 5m40s, row rate 450988.49/sec (period), row rate 201646.57/sec (overall), 6.856000E+07 total rows
at 5m50s, row rate 435015.97/sec (period), row rate 208314.01/sec (overall), 7.291000E+07 total rows
at 6m0s, row rate 439015.27/sec (period), row rate 214722.16/sec (overall), 7.730000E+07 total rows
at 6m10s, row rate 405964.37/sec (period), row rate 219891.31/sec (overall), 8.136000E+07 total rows
at 6m20s, row rate 54001.09/sec (period), row rate 215525.87/sec (overall), 8.190000E+07 total rows
at 6m30s, row rate 23000.73/sec (period), row rate 210589.49/sec (overall), 8.213000E+07 total rows
at 6m40s, row rate 16996.91/sec (period), row rate 205748.82/sec (overall), 8.230000E+07 total rows
at 6m50s, row rate 122021.25/sec (period), row rate 203707.05/sec (overall), 8.352000E+07 total rows
at 7m0s, row rate 137996.76/sec (period), row rate 202142.48/sec (overall), 8.490000E+07 total rows
at 7m10s, row rate 111002.36/sec (period), row rate 200022.99/sec (overall), 8.601000E+07 total rows
at 7m20s, row rate 11997.54/sec (period), row rate 195748.84/sec (overall), 8.613000E+07 total rows
at 7m30s, row rate 150036.75/sec (period), row rate 194733.26/sec (overall), 8.763000E+07 total rows
at 7m40s, row rate 137001.67/sec (period), row rate 193478.24/sec (overall), 8.900000E+07 total rows
at 7m50s, row rate 95992.30/sec (period), row rate 191403.91/sec (overall), 8.996000E+07 total rows
