at 10s, row rate 519975.04/sec (period), row rate 519975.04/sec (overall), 5.200000E+06 total rows
at 20s, row rate 521980.12/sec (period), row rate 520977.58/sec (overall), 1.042000E+07 total rows
at 30s, row rate 508010.55/sec (period), row rate 516655.42/sec (overall), 1.550000E+07 total rows
at 40s, row rate 510978.67/sec (period), row rate 515236.21/sec (overall), 2.061000E+07 total rows
at 50s, row rate 518010.32/sec (period), row rate 515791.01/sec (overall), 2.579000E+07 total rows
at 1m0s, row rate 249017.39/sec (period), row rate 471331.97/sec (overall), 2.828000E+07 total rows
at 1m10s, row rate 39997.27/sec (period), row rate 409709.28/sec (overall), 2.868000E+07 total rows
at 1m20s, row rate 16000.30/sec (period), row rate 360497.01/sec (overall), 2.884000E+07 total rows
at 1m30s, row rate 63998.08/sec (period), row rate 327552.04/sec (overall), 2.948000E+07 total rows
at 1m40s, row rate 147012.69/sec (period), row rate 309499.69/sec (overall), 3.095000E+07 total rows
at 1m50s, row rate 137990.26/sec (period), row rate 293906.94/sec (overall), 3.233000E+07 total rows
at 2m0s, row rate 61990.78/sec (period), row rate 274578.08/sec (overall), 3.295000E+07 total rows
at 2m10s, row rate 120018.51/sec (period), row rate 262690.79/sec (overall), 3.415000E+07 total rows
at 2m20s, row rate 148996.23/sec (period), row rate 254569.60/sec (overall), 3.564000E+07 total rows
at 2m30s, row rate 111003.22/sec (period), row rate 244998.83/sec (overall), 3.675000E+07 total rows
at 2m40s, row rate 50987.79/sec (period), row rate 232870.47/sec (overall), 3.726000E+07 total rows
at 2m50s, row rate 438127.82/sec (period), row rate 244940.90/sec (overall), 4.164000E+07 total rows
at 3m0s, row rate 515996.64/sec (period), row rate 259999.63/sec (overall), 4.680000E+07 total rows
at 3m10s, row rate 498001.82/sec (period), row rate 272526.00/sec (overall), 5.178000E+07 total rows
at 3m20s, row rate 508991.25/sec (period), row rate 284349.44/sec (overall), 5.687000E+07 total rows
at 3m30s, row rate 512012.38/sec (period), row rate 295190.26/sec (overall), 6.199000E+07 total rows
at 3m40s, row rate 493963.84/sec (period), row rate 304226.05/sec (overall), 6.693000E+07 total rows
at 3m50s, row rate 93001.18/sec (period), row rate 295042.51/sec (overall), 6.786000E+07 total rows
at 4m0s, row rate 25992.37/sec (period), row rate 283828.97/sec (overall), 6.812000E+07 total rows
at 4m10s, row rate 25007.27/sec (period), row rate 273479.14/sec (overall), 6.837000E+07 total rows
at 4m20s, row rate 98004.43/sec (period), row rate 266730.43/sec (overall), 6.935000E+07 total rows
at 4m30s, row rate 139994.13/sec (period), row rate 262036.31/sec (overall), 7.075000E+07 total rows
at 4m40s, row rate 104003.64/sec (period), row rate 256392.49/sec (overall), 7.179000E+07 total rows
at 4m50s, row rate 63001.22/sec (period), row rate 249723.96/sec (overall), 7.242000E+07 total rows
at 5m0s, row rate 145989.69/sec (period), row rate 246265.92/sec (overall), 7.388000E+07 total rows
at 5m10s, row rate 130998.48/sec (period), row rate 242547.58/sec (overall), 7.519000E+07 total rows
at 5m20s, row rate 54001.05/sec (period), row rate 236655.63/sec (overall), 7.573000E+07 total rows
at 5m30s, row rate 79004.53/sec (period), row rate 231878.60/sec (overall), 7.652000E+07 total rows
at 5m40s, row rate 474979.78/sec (period), row rate 239028.93/sec (overall), 8.127000E+07 total rows
at 5m50s, row rate 463001.31/sec (period), row rate 245428.11/sec (overall), 8.590000E+07 total rows
at 6m0s, row rate 472019.14/sec (period), row rate 251722.04/sec (overall), 9.062000E+07 total rows
at 6m10s, row rate 477996.48/sec (period), row rate 257837.61/sec (overall), 9.540000E+07 total rows
at 6m20s, row rate 470987.15/sec (period), row rate 263446.95/sec (overall), 1.001100E+08 total rows
at 6m30s, row rate 408016.49/sec (period), row rate 267153.71/sec (overall), 1.041900E+08 total rows
at 6m40s, row rate 61000.71/sec (period), row rate 261999.95/sec (overall), 1.048000E+08 total rows
at 6m50s, row rate 31999.66/sec (period), row rate 256390.13/sec (overall), 1.051200E+08 total rows
at 7m0s, row rate 23999.93/sec (period), row rate 250857.02/sec (overall), 1.053600E+08 total rows
at 7m10s, row rate 134994.60/sec (period), row rate 248162.44/sec (overall), 1.067100E+08 total rows
at 7m20s, row rate 150997.91/sec (period), row rate 245954.13/sec (overall), 1.082200E+08 total rows
at 7m30s, row rate 89003.09/sec (period), row rate 242466.45/sec (overall), 1.091100E+08 total rows
at 7m40s, row rate 17000.36/sec (period), row rate 237565.12/sec (overall), 1.092800E+08 total rows
at 7m50s, row rate 158995.04/sec (period), row rate 235893.37/sec (overall), 1.108700E+08 total rows
at 8m0s, row rate 126000.57/sec (period), row rate 233603.94/sec (overall), 1.121300E+08 total rows
