at 10s, row rate 2491944.81/sec (period), row rate 2491944.81/sec (overall), 2.492000E+07 total rows
at 20s, row rate 403981.35/sec (period), row rate 1447950.54/sec (overall), 2.896000E+07 total rows
at 30s, row rate 347022.01/sec (period), row rate 1080998.24/sec (overall), 3.243000E+07 total rows
at 40s, row rate 103999.36/sec (period), row rate 836747.69/sec (overall), 3.347000E+07 total rows
at 50s, row rate 611978.42/sec (period), row rate 791792.67/sec (overall), 3.959000E+07 total rows
at 1m0s, row rate 115002.33/sec (period), row rate 678997.06/sec (overall), 4.074000E+07 total rows
at 1m10s, row rate 33000.75/sec (period), row rate 586714.00/sec (overall), 4.107000E+07 total rows
at 1m20s, row rate 31995.32/sec (period), row rate 517365.32/sec (overall), 4.139000E+07 total rows
at 1m30s, row rate 737076.14/sec (period), row rate 541774.99/sec (overall), 4.876000E+07 total rows
at 1m40s, row rate 389014.09/sec (period), row rate 526499.47/sec (overall), 5.265000E+07 total rows
at 1m50s, row rate 253982.83/sec (period), row rate 501723.73/sec (overall), 5.519000E+07 total rows
at 2m0s, row rate 66962.04/sec (period), row rate 465475.00/sec (overall), 5.586000E+07 total rows
at 2m10s, row rate 585369.76/sec (period), row rate 474691.84/sec (overall), 6.171000E+07 total rows
at 2m20s, row rate 370997.80/sec (period), row rate 467285.09/sec (overall), 6.542000E+07 total rows
at 2m30s, row rate 205002.59/sec (period), row rate 449799.82/sec (overall), 6.747000E+07 total rows
at 2m40s, row rate 700947.23/sec (period), row rate 465497.63/sec (overall), 7.448000E+07 total rows
at 2m50s, row rate 2877155.90/sec (period), row rate 607351.97/sec (overall), 1.032500E+08 total rows
at 3m0s, row rate 2818912.55/sec (period), row rate 730219.86/sec (overall), 1.314400E+08 total rows
at 3m10s, row rate 1263882.70/sec (period), row rate 758309.76/sec (overall), 1.440800E+08 total rows
at 3m20s, row rate 64009.46/sec (period), row rate 723599.88/sec (overall), 1.447200E+08 total rows
at 3m30s, row rate 1027964.71/sec (period), row rate 738093.91/sec (overall), 1.550000E+08 total rows
at 3m40s, row rate 47997.13/sec (period), row rate 706724.14/sec (overall), 1.554800E+08 total rows
at 3m50s, row rate 30988.24/sec (period), row rate 677333.78/sec (overall), 1.557900E+08 total rows
at 4m0s, row rate 17002.16/sec (period), row rate 649823.86/sec (overall), 1.559600E+08 total rows
at 4m10s, row rate 2449833.00/sec (period), row rate 721799.72/sec (overall), 1.804500E+08 total rows
at 4m20s, row rate 2412016.71/sec (period), row rate 786807.61/sec (overall), 2.045700E+08 total rows
at 4m30s, row rate 1072990.63/sec (period), row rate 797407.07/sec (overall), 2.153000E+08 total rows
at 4m40s, row rate 883990.86/sec (period), row rate 800499.37/sec (overall), 2.241400E+08 total rows
at 4m50s, row rate 238983.71/sec (period), row rate 781135.51/sec (overall), 2.265300E+08 total rows
at 5m0s, row rate 48994.23/sec (period), row rate 756728.09/sec (overall), 2.270200E+08 total rows
at 5m10s, row rate 31989.90/sec (period), row rate 733342.45/sec (overall), 2.273400E+08 total rows
at 5m20s, row rate 310136.25/sec (period), row rate 720123.10/sec (overall), 2.304400E+08 total rows
at 5m30s, row rate 62004.03/sec (period), row rate 700181.41/sec (overall), 2.310600E+08 total rows
at 5m40s, row rate 294002.29/sec (period), row rate 688235.06/sec (overall), 2.340000E+08 total rows
at 5m50s, row rate 63993.76/sec (period), row rate 670397.91/sec (overall), 2.346400E+08 total rows
at 6m0s, row rate 219023.11/sec (period), row rate 657861.05/sec (overall), 2.368300E+08 total rows
at 6m10s, row rate 159960.86/sec (period), row rate 644401.08/sec (overall), 2.384300E+08 total rows
at 6m20s, row rate 377087.43/sec (period), row rate 637368.15/sec (overall), 2.422000E+08 total rows
at 6m30s, row rate 384970.74/sec (period), row rate 630895.94/sec (overall), 2.460500E+08 total rows
at 6m40s, row rate 403994.85/sec (period), row rate 625223.36/sec (overall), 2.500900E+08 total rows
at 6m50s, row rate 49003.53/sec (period), row rate 611170.24/sec (overall), 2.505800E+08 total rows
at 7m0s, row rate 15987.51/sec (period), row rate 596988.42/sec (overall), 2.507400E+08 total rows
at 7m10s, row rate 318248.24/sec (period), row rate 590511.15/sec (overall), 2.539200E+08 total rows
at 7m20s, row rate 195004.16/sec (period), row rate 581522.55/sec (overall), 2.558700E+08 total rows
at 7m30s, row rate 31990.23/sec (period), row rate 569307.08/sec (overall), 2.561900E+08 total rows
at 7m40s, row rate 32005.81/sec (period), row rate 557628.77/sec (overall), 2.565100E+08 total rows
at 7m50s, row rate 698019.10/sec (period), row rate 560615.71/sec (overall), 2.634900E+08 total rows
COPY 266827680, took 7m58.312045823s with 16 worker(s) (mean rate 557852.728841/sec)
