at 10s, row rate 201980.43/sec (period), row rate 201980.43/sec (overall), 2.020000E+06 total rows
at 20s, row rate 814065.60/sec (period), row rate 507995.86/sec (overall), 1.016000E+07 total rows
at 30s, row rate 1848994.99/sec (period), row rate 954993.95/sec (overall), 2.865000E+07 total rows
at 40s, row rate 1783960.08/sec (period), row rate 1162237.98/sec (overall), 4.649000E+07 total rows
at 50s, row rate 1893059.07/sec (period), row rate 1308397.34/sec (overall), 6.542000E+07 total rows
at 1m0s, row rate 1745962.76/sec (period), row rate 1381326.08/sec (overall), 8.288000E+07 total rows
at 1m10s, row rate 638981.20/sec (period), row rate 1275274.61/sec (overall), 8.927000E+07 total rows
at 1m20s, row rate 31994.71/sec (period), row rate 1119843.31/sec (overall), 8.959000E+07 total rows
at 1m30s, row rate 31998.01/sec (period), row rate 998967.96/sec (overall), 8.991000E+07 total rows
at 1m40s, row rate 157028.69/sec (period), row rate 914790.31/sec (overall), 9.148000E+07 total rows
at 1m50s, row rate 48000.43/sec (period), row rate 835992.64/sec (overall), 9.196000E+07 total rows
at 2m0s, row rate 40000.58/sec (period), row rate 769661.38/sec (overall), 9.236000E+07 total rows
at 2m10s, row rate 39993.23/sec (period), row rate 713524.65/sec (overall), 9.276000E+07 total rows
at 2m20s, row rate 1225286.89/sec (period), row rate 750070.49/sec (overall), 1.050100E+08 total rows
at 2m30s, row rate 1099950.39/sec (period), row rate 773396.77/sec (overall), 1.160100E+08 total rows
at 2m40s, row rate 347018.79/sec (period), row rate 746749.61/sec (overall), 1.194800E+08 total rows
at 2m50s, row rate 703940.48/sec (period), row rate 744231.23/sec (overall), 1.265200E+08 total rows
at 3m0s, row rate 32998.93/sec (period), row rate 704717.31/sec (overall), 1.268500E+08 total rows
at 3m10s, row rate 31995.97/sec (period), row rate 669306.93/sec (overall), 1.271700E+08 total rows
at 3m20s, row rate 23004.77/sec (period), row rate 636998.59/sec (overall), 1.274000E+08 total rows
at 3m30s, row rate 1578946.40/sec (period), row rate 681854.60/sec (overall), 1.431900E+08 total rows
at 3m40s, row rate 1870950.85/sec (period), row rate 735905.60/sec (overall), 1.619000E+08 total rows
at 3m50s, row rate 838080.82/sec (period), row rate 740347.57/sec (overall), 1.702800E+08 total rows
at 4m0s, row rate 119994.95/sec (period), row rate 714498.51/sec (overall), 1.714800E+08 total rows
at 4m10s, row rate 15999.21/sec (period), row rate 686557.26/sec (overall), 1.716400E+08 total rows
at 4m20s, row rate 108005.60/sec (period), row rate 664306.47/sec (overall), 1.727200E+08 total rows
at 4m30s, row rate 571017.83/sec (period), row rate 660851.44/sec (overall), 1.784300E+08 total rows
at 4m40s, row rate 371978.59/sec (period), row rate 650533.99/sec (overall), 1.821500E+08 total rows
at 4m50s, row rate 77996.97/sec (period), row rate 630790.65/sec (overall), 1.829300E+08 total rows
at 5m0s, row rate 192004.63/sec (period), row rate 616164.84/sec (overall), 1.848500E+08 total rows
at 5m10s, row rate 1017078.41/sec (period), row rate 629096.53/sec (overall), 1.950200E+08 total rows
at 5m20s, row rate 182982.74/sec (period), row rate 615154.21/sec (overall), 1.968500E+08 total rows
at 5m30s, row rate 31996.14/sec (period), row rate 597480.74/sec (overall), 1.971700E+08 total rows
at 5m40s, row rate 11002.04/sec (period), row rate 580234.59/sec (overall), 1.972800E+08 total rows
at 5m50s, row rate 1130000.08/sec (period), row rate 595942.15/sec (overall), 2.085800E+08 total rows
at 6m0s, row rate 24999.42/sec (period), row rate 580082.29/sec (overall), 2.088300E+08 total rows
at 6m10s, row rate 23000.85/sec (period), row rate 565026.60/sec (overall), 2.090600E+08 total rows
at 6m20s, row rate 8998.17/sec (period), row rate 550391.40/sec (overall), 2.091500E+08 total rows
at 6m30s, row rate 1463197.77/sec (period), row rate 573793.47/sec (overall), 2.237800E+08 total rows
at 6m40s, row rate 581022.25/sec (period), row rate 573974.18/sec (overall), 2.295900E+08 total rows
at 6m50s, row rate 39998.32/sec (period), row rate 560949.86/sec (overall), 2.299900E+08 total rows
at 7m0s, row rate 16000.50/sec (period), row rate 547975.30/sec (overall), 2.301500E+08 total rows
at 7m10s, row rate 153002.00/sec (period), row rate 538790.01/sec (overall), 2.316800E+08 total rows
at 7m20s, row rate 40001.61/sec (period), row rate 527454.37/sec (overall), 2.320800E+08 total rows
at 7m30s, row rate 24999.51/sec (period), row rate 516288.50/sec (overall), 2.323300E+08 total rows
at 7m40s, row rate 30998.22/sec (period), row rate 505738.12/sec (overall), 2.326400E+08 total rows
at 7m50s, row rate 825031.59/sec (period), row rate 512531.33/sec (overall), 2.408900E+08 total rows
at 8m0s, row rate 343003.05/sec (period), row rate 508999.53/sec (overall), 2.443200E+08 total rows
at 8m10s, row rate 30992.09/sec (period), row rate 499241.85/sec (overall), 2.446300E+08 total rows
at 8m20s, row rate 17003.89/sec (period), row rate 489599.31/sec (overall), 2.448000E+08 total rows
at 8m30s, row rate 628004.05/sec (period), row rate 492313.11/sec (overall), 2.510800E+08 total rows
at 8m40s, row rate 689979.38/sec (period), row rate 496114.49/sec (overall), 2.579800E+08 total rows
at 8m50s, row rate 591999.67/sec (period), row rate 497923.64/sec (overall), 2.639000E+08 total rows
at 9m0s, row rate 227010.79/sec (period), row rate 492906.98/sec (overall), 2.661700E+08 total rows
COPY 266827680, took 9m3.978124516s with 8 worker(s) (mean rate 490511.783424/sec)
