at 10s, row rate 180982.62/sec (period), row rate 180982.62/sec (overall), 1.810000E+06 total rows
at 20s, row rate 204999.51/sec (period), row rate 192990.50/sec (overall), 3.860000E+06 total rows
at 30s, row rate 347005.93/sec (period), row rate 244326.71/sec (overall), 7.330000E+06 total rows
at 40s, row rate 331018.03/sec (period), row rate 265998.22/sec (overall), 1.064000E+07 total rows
at 50s, row rate 340974.85/sec (period), row rate 280994.35/sec (overall), 1.405000E+07 total rows
at 1m0s, row rate 338028.77/sec (period), row rate 290499.25/sec (overall), 1.743000E+07 total rows
at 1m10s, row rate 341993.81/sec (period), row rate 297855.72/sec (overall), 2.085000E+07 total rows
at 1m20s, row rate 332980.69/sec (period), row rate 302246.54/sec (overall), 2.418000E+07 total rows
at 1m30s, row rate 344013.60/sec (period), row rate 306887.12/sec (overall), 2.762000E+07 total rows
at 1m40s, row rate 349017.46/sec (period), row rate 311099.94/sec (overall), 3.111000E+07 total rows
at 1m50s, row rate 344986.18/sec (period), row rate 314180.62/sec (overall), 3.456000E+07 total rows
at 2m0s, row rate 340989.90/sec (period), row rate 316414.78/sec (overall), 3.797000E+07 total rows
at 2m10s, row rate 341003.93/sec (period), row rate 318306.22/sec (overall), 4.138000E+07 total rows
at 2m20s, row rate 335997.55/sec (period), row rate 319569.89/sec (overall), 4.474000E+07 total rows
at 2m30s, row rate 339994.83/sec (period), row rate 320931.56/sec (overall), 4.814000E+07 total rows
at 2m40s, row rate 341006.01/sec (period), row rate 322186.19/sec (overall), 5.155000E+07 total rows
at 2m50s, row rate 335989.16/sec (period), row rate 322998.15/sec (overall), 5.491000E+07 total rows
at 3m0s, row rate 336007.03/sec (period), row rate 323720.85/sec (overall), 5.827000E+07 total rows
at 3m10s, row rate 343008.89/sec (period), row rate 324735.98/sec (overall), 6.170000E+07 total rows
at 3m20s, row rate 334004.39/sec (period), row rate 325199.39/sec (overall), 6.504000E+07 total rows
at 3m30s, row rate 330991.32/sec (period), row rate 325475.21/sec (overall), 6.835000E+07 total rows
at 3m40s, row rate 343016.53/sec (period), row rate 326272.50/sec (overall), 7.178000E+07 total rows
at 3m50s, row rate 342982.99/sec (period), row rate 326999.08/sec (overall), 7.521000E+07 total rows
at 4m0s, row rate 342995.76/sec (period), row rate 327665.61/sec (overall), 7.864000E+07 total rows
at 4m10s, row rate 230993.40/sec (period), row rate 323798.63/sec (overall), 8.095000E+07 total rows
at 4m20s, row rate 13000.02/sec (period), row rate 311844.90/sec (overall), 8.108000E+07 total rows
at 4m30s, row rate 11000.19/sec (period), row rate 300702.73/sec (overall), 8.119000E+07 total rows
at 4m40s, row rate 29001.99/sec (period), row rate 290999.81/sec (overall), 8.148000E+07 total rows
at 4m50s, row rate 298989.82/sec (period), row rate 291275.33/sec (overall), 8.447000E+07 total rows
at 5m0s, row rate 335007.22/sec (period), row rate 292733.03/sec (overall), 8.782000E+07 total rows
at 5m10s, row rate 319005.23/sec (period), row rate 293580.51/sec (overall), 9.101000E+07 total rows
at 5m20s, row rate 320982.80/sec (period), row rate 294436.87/sec (overall), 9.422000E+07 total rows
at 5m30s, row rate 337019.76/sec (period), row rate 295727.19/sec (overall), 9.759000E+07 total rows
