at 11m0s, row rate 318975.85/sec (period), row rate 176090.65/sec (overall), 1.162200E+08 total rows
at 11m10s, row rate 311997.78/sec (period), row rate 178119.13/sec (overall), 1.193400E+08 total rows
at 11m20s, row rate 314020.24/sec (period), row rate 180117.54/sec (overall), 1.224800E+08 total rows
at 11m30s, row rate 302990.02/sec (period), row rate 181898.36/sec (overall), 1.255100E+08 total rows
at 11m40s, row rate 320013.43/sec (period), row rate 183871.35/sec (overall), 1.287100E+08 total rows
at 11m50s, row rate 306002.65/sec (period), row rate 185591.49/sec (overall), 1.317700E+08 total rows
at 12m0s, row rate 72999.20/sec (period), row rate 184027.69/sec (overall), 1.325000E+08 total rows
at 12m10s, row rate 27998.42/sec (period), row rate 181890.19/sec (overall), 1.327800E+08 total rows
at 12m20s, row rate 11999.06/sec (period), row rate 179594.19/sec (overall), 1.329000E+08 total rows
at 12m30s, row rate 171024.86/sec (period), row rate 179479.95/sec (overall), 1.346100E+08 total rows
at 12m40s, row rate 285996.44/sec (period), row rate 180881.50/sec (overall), 1.374700E+08 total rows
at 12m50s, row rate 286004.98/sec (period), row rate 182246.71/sec (overall), 1.403300E+08 total rows
at 13m0s, row rate 278000.58/sec (period), row rate 183474.32/sec (overall), 1.431100E+08 total rows
at 13m10s, row rate 272002.49/sec (period), row rate 184594.92/sec (overall), 1.458300E+08 total rows
at 13m20s, row rate 289976.36/sec (period), row rate 185912.30/sec (overall), 1.487300E+08 total rows
at 13m30s, row rate 211011.88/sec (period), row rate 186222.15/sec (overall), 1.508400E+08 total rows
at 13m40s, row rate 83000.66/sec (period), row rate 184963.36/sec (overall), 1.516700E+08 total rows
at 13m50s, row rate 99995.53/sec (period), row rate 183939.61/sec (overall), 1.526700E+08 total rows
at 14m0s, row rate 16999.72/sec (period), row rate 181952.20/sec (overall), 1.528400E+08 total rows
at 14m10s, row rate 73002.19/sec (period), row rate 180670.47/sec (overall), 1.535700E+08 total rows
at 14m20s, row rate 46002.25/sec (period), row rate 179104.64/sec (overall), 1.540300E+08 total rows
at 14m30s, row rate 40999.29/sec (period), row rate 177517.20/sec (overall), 1.544400E+08 total rows
at 14m40s, row rate 18999.01/sec (period), row rate 175715.76/sec (overall), 1.546300E+08 total rows
at 14m50s, row rate 191994.76/sec (period), row rate 175898.67/sec (overall), 1.565500E+08 total rows
at 15m0s, row rate 109006.65/sec (period), row rate 175155.48/sec (overall), 1.576400E+08 total rows
at 15m10s, row rate 148998.62/sec (period), row rate 174868.04/sec (overall), 1.591300E+08 total rows
at 15m20s, row rate 131994.46/sec (period), row rate 174402.00/sec (overall), 1.604500E+08 total rows
at 15m30s, row rate 150999.03/sec (period), row rate 174150.35/sec (overall), 1.619600E+08 total rows
at 15m40s, row rate 316999.70/sec (period), row rate 175670.03/sec (overall), 1.651300E+08 total rows
at 15m50s, row rate 307028.81/sec (period), row rate 177052.62/sec (overall), 1.682000E+08 total rows
at 16m0s, row rate 309994.88/sec (period), row rate 178437.46/sec (overall), 1.713000E+08 total rows
at 16m10s, row rate 311982.08/sec (period), row rate 179814.29/sec (overall), 1.744200E+08 total rows
at 16m20s, row rate 318012.92/sec (period), row rate 181224.42/sec (overall), 1.776000E+08 total rows
at 16m30s, row rate 312999.49/sec (period), row rate 182555.48/sec (overall), 1.807300E+08 total rows
at 16m40s, row rate 304009.93/sec (period), row rate 183769.99/sec (overall), 1.837700E+08 total rows
at 16m50s, row rate 289985.63/sec (period), row rate 184821.68/sec (overall), 1.866700E+08 total rows
at 17m0s, row rate 265007.72/sec (period), row rate 185607.79/sec (overall), 1.893200E+08 total rows
at 17m10s, row rate 81001.22/sec (period), row rate 184592.21/sec (overall), 1.901300E+08 total rows
at 17m20s, row rate 52994.93/sec (period), row rate 183326.73/sec (overall), 1.906600E+08 total rows
at 17m30s, row rate 22998.78/sec (period), row rate 181799.72/sec (overall), 1.908900E+08 total rows
at 17m40s, row rate 148017.02/sec (period), row rate 181481.05/sec (overall), 1.923700E+08 total rows
at 17m50s, row rate 158003.64/sec (period), row rate 181261.64/sec (overall), 1.939500E+08 total rows
at 18m0s, row rate 172003.87/sec (period), row rate 181175.92/sec (overall), 1.956700E+08 total rows
at 18m10s, row rate 102994.83/sec (period), row rate 180458.63/sec (overall), 1.967000E+08 total rows
at 18m20s, row rate 113995.97/sec (period), row rate 179854.40/sec (overall), 1.978400E+08 total rows
at 18m30s, row rate 25996.04/sec (period), row rate 178468.08/sec (overall), 1.981000E+08 total rows
at 18m40s, row rate 15003.14/sec (period), row rate 177008.88/sec (overall), 1.982500E+08 total rows
at 18m50s, row rate 21000.03/sec (period), row rate 175628.27/sec (overall), 1.984600E+08 total rows
at 19m0s, row rate 66997.71/sec (period), row rate 174675.34/sec (overall), 1.991300E+08 total rows
at 19m10s, row rate 133007.09/sec (period), row rate 174313.03/sec (overall), 2.004600E+08 total rows
at 19m20s, row rate 93000.22/sec (period), row rate 173612.06/sec (overall), 2.013900E+08 total rows
at 19m30s, row rate 17997.71/sec (period), row rate 172281.85/sec (overall), 2.015700E+08 total rows
