at 10s, row rate 240984.26/sec (period), row rate 240984.26/sec (overall), 2.410000E+06 total rows
at 20s, row rate 163003.47/sec (period), row rate 201995.55/sec (overall), 4.040000E+06 total rows
at 30s, row rate 77981.51/sec (period), row rate 160651.61/sec (overall), 4.820000E+06 total rows
at 40s, row rate 126023.80/sec (period), row rate 151996.49/sec (overall), 6.080000E+06 total rows
at 50s, row rate 159001.63/sec (period), row rate 153397.48/sec (overall), 7.670000E+06 total rows
at 1m0s, row rate 137008.59/sec (period), row rate 150666.18/sec (overall), 9.040000E+06 total rows
at 1m10s, row rate 67981.86/sec (period), row rate 138851.47/sec (overall), 9.720000E+06 total rows
at 1m20s, row rate 111017.87/sec (period), row rate 135372.88/sec (overall), 1.083000E+07 total rows
at 1m30s, row rate 162016.40/sec (period), row rate 138332.97/sec (overall), 1.245000E+07 total rows
at 1m40s, row rate 117000.48/sec (period), row rate 136199.73/sec (overall), 1.362000E+07 total rows
at 1m50s, row rate 40993.72/sec (period), row rate 127543.45/sec (overall), 1.403000E+07 total rows
at 2m0s, row rate 945138.31/sec (period), row rate 195666.23/sec (overall), 2.348000E+07 total rows
at 2m10s, row rate 997934.62/sec (period), row rate 257382.79/sec (overall), 3.346000E+07 total rows
at 2m20s, row rate 843001.05/sec (period), row rate 299212.34/sec (overall), 4.189000E+07 total rows
at 2m30s, row rate 101999.75/sec (period), row rate 286064.88/sec (overall), 4.291000E+07 total rows
at 2m40s, row rate 102007.57/sec (period), row rate 274562.17/sec (overall), 4.393000E+07 total rows
at 2m50s, row rate 31997.82/sec (period), row rate 260292.78/sec (overall), 4.425000E+07 total rows
at 3m0s, row rate 220014.95/sec (period), row rate 258055.28/sec (overall), 4.645000E+07 total rows
at 3m10s, row rate 166987.66/sec (period), row rate 253261.91/sec (overall), 4.812000E+07 total rows
at 3m20s, row rate 107001.73/sec (period), row rate 245949.05/sec (overall), 4.919000E+07 total rows
at 3m30s, row rate 32981.92/sec (period), row rate 235802.50/sec (overall), 4.952000E+07 total rows
at 3m40s, row rate 173092.11/sec (period), row rate 232953.56/sec (overall), 5.125000E+07 total rows
